name,definition,cas
"2,3,4-Trimethylphenol","2,3,4-Trimethylphenol",
"2,3,5-Trimethylphenol","2,3,5-Trimethylphenol",
"2,3,6-TBA","2,3,6-TBA",
"2,3,6-Trimethylphenol","2,3,6-Trimethylphenol",
"2,3-Dichlorophenol","2,3-Dichlorophenol",
"2,3-Dimethylphenol","2,3-Dimethylphenol",
"2,4,5-T","2,4,5-T",
"2,4,5-T (2,4,5-Trichlorophenoxyacetic Acid)","2,4,5-T (2,4,5-Trichlorophenoxyacetic Acid)",93-76-5
"2,4,5-Trichlorophenol","2,4,5-Trichlorophenol",
"2,4,6-Tribromophenol","2,4,6-Tribromophenol",
"2,4,6-Trichlorophenol","2,4,6-Trichlorophenol",88-06-2
"2,4,6-Trichlorophenol STLGG4","2,4,6-Trichlorophenol STLGG4",
"2,4,6-Trichlorophenol STLPK2","2,4,6-Trichlorophenol STLPK2",
"2,4,6-Trimethyl phenol","2,4,6-Trimethyl phenol",
"2,4,6-Trinitrotoluene","2,4,6-Trinitrotoluene",118-96-7
"2,4-D","2,4-D",
"2,4-D ((2,4-Dichlorophenoxy)acetic Acid)","2,4-D ((2,4-Dichlorophenoxy)acetic Acid)",94-75-7
"2,4-DB (4-(2,4-DichFlorophenoxy)butyric Acid)","2,4-DB (4-(2,4-DichFlorophenoxy)butyric Acid)",94-82-6
"2,4-DDD","2,4-DDD",
"2,4-DDE","2,4-DDE",
"2,4-DDT","2,4-DDT",
"2,4-Dichlorophenol","2,4-Dichlorophenol",120-83-2
"2,4-dichlorophenoxy acetic acid","2,4-dichlorophenoxy acetic acid",
"2,4-Dimethylphenol","2,4-Dimethylphenol",
"2,4-Dinitrophenol","2,4-Dinitrophenol",
"2,4-Dinitrotoluene","2,4-Dinitrotoluene",
"2,4-imethylphenol low level","2,4-imethylphenol low level",
"2,5-Dichlorophenol","2,5-Dichlorophenol",
"2,5-Dimethylphenol","2,5-Dimethylphenol",
"2,6-Dichlorophenol","2,6-Dichlorophenol",
"2,6-Dimethylheptan-4-one","2,6-Dimethylheptan-4-one",108-83-8
"2,6-Dimethylphenol","2,6-Dimethylphenol",
"2,6-Dinitrotoluene","2,6-Dinitrotoluene",
"2,6-Di-tert-butyl-p-cresol","2,6-Di-tert-butyl-p-cresol",128-37-0
2-Acetylaminofluorene,2-Acetylaminofluorene,
2-Aminoethanol,2-Aminoethanol,141-43-5
2-Butoxy ethanol,2-Butoxy ethanol,
2-Butoxyethanol,2-Butoxyethanol,111-76-2
2-Butoxyethyl Acetate,2-Butoxyethyl Acetate,112-07-2
2-Chloroacetophenone,2-Chloroacetophenone,532-27-4
2-Chloroaniline,2-Chloroaniline,
2-Chloroethanol,2-Chloroethanol,107-07-3
2-Chloronaphthalene,2-Chloronaphthalene,
2-Chlorophenol,2-Chlorophenol,95-57-8
2-Chlorotoluene,2-Chlorotoluene,
2-Dimethylaminoethanol,2-Dimethylaminoethanol,108-01-0
2-Ethoxyethanol,2-Ethoxyethanol,110-80-5
2-Ethoxyethyl Acetate,2-Ethoxyethyl Acetate,111-15-9
2-Ethylhexyl Chloroformate,2-Ethylhexyl Chloroformate,24468-13-1
2-Fluorobiphenyl,2-Fluorobiphenyl,
2-Fluorophenol,2-Fluorophenol,
2-Furaldehyde (Furfural),2-Furaldehyde (Furfural),98-01-1
2-Hydroxypropyl Acrylate,2-Hydroxypropyl Acrylate,999-61-1
2-Methoxyethanol,2-Methoxyethanol,109-86-4
2-Methoxyethyl Acetate,2-Methoxyethyl Acetate,110-49-6
2-Methyl Naphthalene,2-Methyl Naphthalene,
2-Methyl-2-propanol,2-Methyl-2-propanol,
"2-Methyl-4,6-dinitrophenol","2-Methyl-4,6-dinitrophenol",
2-Methylcyclohexanone,2-Methylcyclohexanone,583-60-8
2-Methylnaphthalene,2-Methylnaphthalene,
"2-Methylpentane-2,4-diol","2-Methylpentane-2,4-diol",107-41-5
2-Methylphenol,2-Methylphenol,
2-Methylpropan-1-ol,2-Methylpropan-1-ol,78-83-1
2-Methylpropan-2-ol,2-Methylpropan-2-ol,75-65-0
2-Naphthylamine,2-Naphthylamine,
2-Nitroaniline,2-Nitroaniline,
2-Nitrophenol,2-Nitrophenol,
2-Nitropropane,2-Nitropropane,79-46-9
2-Phenylpropene,2-Phenylpropene,98-83-9
2-Picoline,2-Picoline,
2-Pyridylamine,2-Pyridylamine,504-29-0
2-sec-Butylphenol,2-sec-Butylphenol,89-72-5
3 and 4-Chlorophenol,3 and 4-Chlorophenol,
3 and 4-Methylphenol,3 and 4-Methylphenol,
3 x Volume,3 x Volume,
"3,3-Dichlorobenzidine","3,3-Dichlorobenzidine",
"3,3-Dimethylbenzidine","3,3-Dimethylbenzidine",
"3,3-Dimethylheptanoic acid","3,3-Dimethylheptanoic acid",
"3,4-Dichlorophenol","3,4-Dichlorophenol",
"3,4-Dihydrobenzo[c]pyran-1 [2H]-ol [SVOCSW]","3,4-Dihydrobenzo[c]pyran-1 [2H]-ol [SVOCSW]",
"3,4-Dimethylphenol","3,4-Dimethylphenol",
"3,5,5-Trimethylcyclohex-2-enone","3,5,5-Trimethylcyclohex-2-enone",78-59-1
"3,5-Dimethylphenol","3,5-Dimethylphenol",
"3,5-di-tert-Buyl-4-hydroxyphenylpropionic acid [S]","3,5-di-tert-Buyl-4-hydroxyphenylpropionic acid [S]",
"3,6,6-Trimethylnorpinan-2-one[SVOCSW]","3,6,6-Trimethylnorpinan-2-one[SVOCSW]",
3-Chloroaniline,3-Chloroaniline,
3-Chlorophenol,3-Chlorophenol,108-43-0
"3-Cyclohexene-1-methanol, .alpha.,.alpha.4- tri","3-Cyclohexene-1-methanol, .alpha.,.alpha.4- tri",
3-Methyl-6-hydroxybenzo[c]-dihydrofuran[SVOCSW],3-Methyl-6-hydroxybenzo[c]-dihydrofuran[SVOCSW],
3-Methylbutan-1-ol,3-Methylbutan-1-ol,123-51-3
3-Methylcholanthrene,3-Methylcholanthrene,
3-Methylphenol,3-Methylphenol,
3-Nitroaniline,3-Nitroaniline,
"4,4'-DDD","4,4'-DDD",
"4,4'-DDE","4,4'-DDE",
"4,4'-DDT","4,4'-DDT",
"4,4-Dipyridyl","4,4-Dipyridyl",
"4,4'-Methylenedianiline (MDA)","4,4'-Methylenedianiline (MDA)",101-77-9
"4,6-Dinitro-2-methylphenol","4,6-Dinitro-2-methylphenol",
4-Aminobiphenyl,4-Aminobiphenyl,
4-Bromofluorobenzene,4-Bromofluorobenzene,
4-Bromophenyl phenyl ether,4-Bromophenyl phenyl ether,
4-Chloro-3-methylphenol,4-Chloro-3-methylphenol,59-50-7
4-Chloroacetophenone,4-Chloroacetophenone,
4-Chloroaniline,4-Chloroaniline,
4-chloro-o-tolyloxyacetic acid,4-chloro-o-tolyloxyacetic acid,
4-Chlorophenol,4-Chlorophenol,106-48-9
4-Chlorophenyl phenylether,4-Chlorophenyl phenylether,
4-Chlorotoluene,4-Chlorotoluene,
4-Ethylmorpholine,4-Ethylmorpholine,100-74-3
4-Ethylphenol,4-Ethylphenol,
4-Hydroxy-4-methylpentan-2-one,4-Hydroxy-4-methylpentan-2-one,123-42-2
4-Isopropyltoluene,4-Isopropyltoluene,
4-Methyl-2-pentanone,4-Methyl-2-pentanone,
4-Methylpentan-2-ol,4-Methylpentan-2-ol,108-11-2
4-Methylpentan-2-one,4-Methylpentan-2-one,108-10-1
4-Methylphenol,4-Methylphenol,
4-Methylphenol STLGHP,4-Methylphenol STLGHP,
4-Methylphenol STLPJK,4-Methylphenol STLPJK,
4-Nitroaniline,4-Nitroaniline,
4-Nitrophenol,4-Nitrophenol,
5-Cyclopropyl-3-nitropyrazole[SVOCSW],5-Cyclopropyl-3-nitropyrazole[SVOCSW],
5-Methylheptan-3-one,5-Methylheptan-3-one,541-85-5
5-Methylhexan-2-one,5-Methylhexan-2-one,110-12-3
"6,6'-Di-tert-butyl-4,4'-thiodi-m-cresol","6,6'-Di-tert-butyl-4,4'-thiodi-m-cresol",96-69-5
"7,12=Dimethylbenz(a)anthracene","7,12=Dimethylbenz(a)anthracene",
9-Ethyl-9-methylfluorene[SVOCSW],9-Ethyl-9-methylfluorene[SVOCSW],
Abamectin,Abamectin,71751-41-2
Acenaphthene,Acenaphthene,
Acenaphthylene,Acenaphthylene,
Acenaphthylene (PAH),Acenaphthylene (PAH),
Acenaphthylene ESG SVOC,Acenaphthylene ESG SVOC,
Acetaldehyde,Acetaldehyde,75-07-0
Acetic acid,Acetic acid,
Acetic Anhydride,Acetic Anhydride,108-24-7
Acetone,Acetone,67-64-1
Acetonitrile,Acetonitrile,75-05-8
Acetophenone,Acetophenone,
Acetylene,Acetylene,
Acrylaldehyde (Acrolein),Acrylaldehyde (Acrolein),107-02-8
Acrylamide,Acrylamide,79-06-1
Acrylonitrile,Acrylonitrile,107-13-1
Actioned,Actioned,
Activated Carbon,Activated Carbon,
Adsorbable Organicly bound halogens (AOX),Adsorbable Organicly bound halogens (AOX),
Alachlor,Alachlor,15972-60-8
Aldicarb,Aldicarb,116-06-3
Aldrin,Aldrin,309-00-2
Aliphatics <C10-C12,Aliphatics <C10-C12,
Aliphatics > EC12-EC35 (aq),Aliphatics > EC12-EC35 (aq),
Aliphatics >C12-C16 (aq),Aliphatics >C12-C16 (aq),
Aliphatics >C16-C21 (aq),Aliphatics >C16-C21 (aq),
Aliphatics >C21-C35 (aq),Aliphatics >C21-C35 (aq),
Aliphatics >C5-C12,Aliphatics >C5-C12,
Aliphatics >C5-C6,Aliphatics >C5-C6,
Aliphatics >C6-C8,Aliphatics >C6-C8,
Aliphatics >C8-C10,Aliphatics >C8-C10,
Aliphatics and Aromatics > C5-35 (aq),Aliphatics and Aromatics > C5-35 (aq),
Alkalinity (Total),Alkalinity (Total),
Alkalinity as CaCO3,Alkalinity as CaCO3,
Alkalinity as HC03,Alkalinity as HC03,
Allyl Alcohol,Allyl Alcohol,107-18-6
Alpha Analysis,Alpha Analysis,
Alpha-BHC,Alpha-BHC,
alpha-Chlordane,alpha-Chlordane,
alpha-Chlorotoluene,alpha-Chlorotoluene,
alpha-Endosulphan,alpha-Endosulphan,
alpha-Methyl Styrene,alpha-Methyl Styrene,
Aluminium,Aluminium,7429-90-5
Aluminium Alkyl Compounds,Aluminium Alkyl Compounds,
Aluminium Oxides,Aluminium Oxides,1344-28-1
"Aluminium Salts, Soluble","Aluminium Salts, Soluble",
"Aluminium, Dissolved","Aluminium, Dissolved",
Ametryn,Ametryn,
Ammonia,Ammonia,7664-41-7
Ammonia (NH3),Ammonia (NH3),7664-41-7
Ammonia as N,Ammonia as N,7664-41-7
Ammoniacal Nitrogen,Ammoniacal Nitrogen,
Ammonium,Ammonium,14798-03-9
"Ammonium Chloride, Fume","Ammonium Chloride, Fume",12125-02-9
Ammonium Sulphamidate,Ammonium Sulphamidate,7773-06-0
Anemometer,Anemometer,
Aniline,Aniline,62-53-3
Anions total,Anions total,
Anthracene,Anthracene,120-12-7
Anthracene (PAH),Anthracene (PAH),
Anthracene ESG SVOC,Anthracene ESG SVOC,
Antimony,Antimony,7440-36-0
AOX,AOX,
APC Residues,APC Residues,
Aromatics > EC10-EC12,Aromatics > EC10-EC12,
Aromatics >EC12-EC16 (aq),Aromatics >EC12-EC16 (aq),
Aromatics >EC16-EC21 (aq),Aromatics >EC16-EC21 (aq),
Aromatics >EC21-EC35 (aq),Aromatics >EC21-EC35 (aq),
Aromatics >EC5-EC7,Aromatics >EC5-EC7,
Aromatics >EC7-EC8,Aromatics >EC7-EC8,
Aromatics >EC8-EC10,Aromatics >EC8-EC10,
Aromatics Total > EC12-EC35 (aq),Aromatics Total > EC12-EC35 (aq),
Arsenic,Arsenic,7440-38-2
Arsine,Arsine,7784-42-1
Asbestos,Asbestos,132207-33-1
Asbestos Fibres,Asbestos Fibres,
"Asphalt, Petroleum Fumes","Asphalt, Petroleum Fumes",8052-42-4
Atmospheric Pressure,Atmospheric Pressure,
Atraton,Atraton,
Atrazine,Atrazine,1912-24-9
Azamethiphos,Azamethiphos,35575-96-3
Azinphos-ethyl,Azinphos-ethyl,
Azinphos-methyl,Azinphos-methyl,86-50-0
Azobenzene,Azobenzene,
Azodicarbonamide,Azodicarbonamide,123-77-3
Azoxystrobin,Azoxystrobin,
Balance,Balance,
Barium,Barium,7440-39-3
Barium Sulphate,Barium Sulphate,7727-43-7
Barometric Pressure,Barometric Pressure,
BBP (Butyl Benzyl Phthalate),BBP (Butyl Benzyl Phthalate),85-68-7
Bentazone,Bentazone,25057-89-0
Benzatone,Benzatone,
Benzene,Benzene,71-43-2
Benzenebutanoic acid,Benzenebutanoic acid,
Benzidine,Benzidine,
"Benzo 1,12 perylene (ghi)","Benzo 1,12 perylene (ghi)",
"Benzo 11,12 fluoranthene (k)","Benzo 11,12 fluoranthene (k)",
Benzo(a)anthracene,Benzo(a)anthracene,
Benzo(a)pyrene,Benzo(a)pyrene,
Benzo(b)fluoranthene,Benzo(b)fluoranthene,
Benzo(ghi)perylene,Benzo(ghi)perylene,
Benzo(k)fluoranthene,Benzo(k)fluoranthene,
Benzo[a]pyrene,Benzo[a]pyrene,50-32-8
Benzo[b]fluoranthene,Benzo[b]fluoranthene,205-99-2
"Benzo[g,h,i]perylene","Benzo[g,h,i]perylene",191-24-2
Benzo[k]fluoranthene,Benzo[k]fluoranthene,207-08-9
Benzoic Acid,Benzoic Acid,
Benzothiazolone,Benzothiazolone,
Benzyl alcohol,Benzyl alcohol,
Benzyl butyl phthalate,Benzyl butyl phthalate,
Benzyl Chloride,Benzyl Chloride,100-44-7
Beryllium,Beryllium,7440-41-7
Beta Analysis,Beta Analysis,
Bicarbonate,Bicarbonate,
Biochemical oxygen demand (BOD5),Biochemical oxygen demand (BOD5),
Biocides,Biocides,
Biphenyl,Biphenyl,92-52-4
Bis(2-chloroethoxy)methane,Bis(2-chloroethoxy)methane,
Bis(2-chloroethyl) ether,Bis(2-chloroethyl) ether,
Bis(2-chloroisopropyl) ether,Bis(2-chloroisopropyl) ether,
Bis(2-chloroisopropyl)ether,Bis(2-chloroisopropyl)ether,
bis(2-ethylhexyl)phthalate,bis(2-ethylhexyl)phthalate,
Bis(chloromethyl) Ether,Bis(chloromethyl) Ether,542-88-1
BOD (Biological Oxygen Demand),BOD (Biological Oxygen Demand),
Bolstar,Bolstar,
Booster Pressure,Booster Pressure,
Booster Suction,Booster Suction,
Borate,Borate,
Borehole Base AOD,Borehole Base AOD,
Borehole Base Below Ref Point,Borehole Base Below Ref Point,
Borehole Base Top of Silt MBRP,Borehole Base Top of Silt MBRP,
Borehole Leachate Depth Above Basal Liner,Borehole Leachate Depth Above Basal Liner,
Borehole Liquid Level AOD,Borehole Liquid Level AOD,
Borehole Liquid Level Below Ref Point,Borehole Liquid Level Below Ref Point,
Borehole Metal Casing,Borehole Metal Casing,
Borehole Reference Point Above Site Datum,Borehole Reference Point Above Site Datum,
Borehole Reference Point AOD,Borehole Reference Point AOD,
Borehole Standing Depth of Liquid,Borehole Standing Depth of Liquid,
Borehole top of silt,Borehole top of silt,
Borehole Volume,Borehole Volume,
Bornan-2-one,Bornan-2-one,76-22-2
Boron,Boron,7440-42-8
Boron Tribromide,Boron Tribromide,10294-33-4
Boscalid,Boscalid,
Bottom Ash,Bottom Ash,
Bromacil,Bromacil,314-40-9
Bromate,Bromate,15541-45-4
Bromate as BrO3,Bromate as BrO3,
Bromide,Bromide,
Bromine,Bromine,7726-95-6
Bromobenzene,Bromobenzene,
Bromochloromethane,Bromochloromethane,
Bromodichloromethane,Bromodichloromethane,75-27-4
Bromoform,Bromoform,75-25-2
Bromomethane,Bromomethane,74-83-9
Bromoxynil,Bromoxynil,1689-84-5
Bromoxynil octanoate,Bromoxynil octanoate,
BTEX - Sum of detected,BTEX - Sum of detected,
Butan-1-ol,Butan-1-ol,71-36-3
Butan-2-ol,Butan-2-ol,78-92-2
Butan-2-one (Methyl Ethyl Ketone),Butan-2-one (Methyl Ethyl Ketone),78-93-3
Butane,Butane,106-97-8
Butanes,Butanes,
"Butanoic acid, 2-methyl-[SVOCSW]","Butanoic acid, 2-methyl-[SVOCSW]",
Butenes,Butenes,
Butyl Acetate,Butyl Acetate,123-86-4
Butyl Benzenesulphonamide,Butyl Benzenesulphonamide,
Butyl Lactate,Butyl Lactate,138-22-7
Butylbenzylphthalate,Butylbenzylphthalate,
Butyric Acid,Butyric Acid,
"Butyric Acid (4-(2,4-dichlorophenoxy)-Butanoic aci","Butyric Acid (4-(2,4-dichlorophenoxy)-Butanoic aci",
C10-C13 Chloroalkanes,C10-C13 Chloroalkanes,85535-84-8
C7-C9 Dialkyl Phthalates,C7-C9 Dialkyl Phthalates,83968-18-7
Cadmium,Cadmium,7440-43-9
Cadmium - Total Unfiltered,Cadmium - Total Unfiltered,
Cadmium & thallium and their compounds (total),Cadmium & thallium and their compounds (total),
"Cadmium and its compounds, expressed as cadmium (Total Cd)","Cadmium and its compounds, expressed as cadmium (Total Cd)",
Cadmium Oxide,Cadmium Oxide,1306-19-0
Cadmium Sulphide and Cadmium Sulphide Pigments (Respirable Dust) (As Cd),Cadmium Sulphide and Cadmium Sulphide Pigments (Respirable Dust) (As Cd),
Caesium Hydroxide,Caesium Hydroxide,21351-79-1
Calcium,Calcium,
Calcium - Total Unfiltered,Calcium - Total Unfiltered,
Calcium Carbonate,Calcium Carbonate,1317-65-3
Calcium Chloride,Calcium Chloride,
Calcium Cyanamide,Calcium Cyanamide,156-62-7
Calcium Hardness as CaCO3,Calcium Hardness as CaCO3,
Calcium Hydroxide,Calcium Hydroxide,1305-62-0
Calcium Oxide,Calcium Oxide,1305-78-8
Calcium Silicate,Calcium Silicate,1344-95-2
Camphor,Camphor,
Captan,Captan,133-06-2
Carbazole,Carbazole,
Carbendazim,Carbendazim,10605-21-7
Carbetamide,Carbetamide,
Carbofuran,Carbofuran,1563-66-2
Carbon Black,Carbon Black,1333-86-4
Carbon Dioxide,Carbon Dioxide,124-38-9
Carbon Disulphide,Carbon Disulphide,75-15-0
Carbon Monoxide,Carbon Monoxide,630-08-0
Carbon monoxide (CO),Carbon monoxide (CO),630-08-0
Carbonate,Carbonate,
Carbontetrachloride,Carbontetrachloride,
Carbonyl Sulphide,Carbonyl Sulphide,
Carbophenothion,Carbophenothion,
Cations total,Cations total,
Cellulose,Cellulose,9004-34-6
CH4,Methane,
Chemical oxygen demand (COD),Chemical oxygen demand (COD),
Chlopyralid,Chlopyralid,
Chlopyrifos,Chlopyrifos,
Chloral Hydrate,Chloral Hydrate,302-17-0
Chlorate,Chlorate,7790-93-4
Chlordane,Chlordane,12789-03-6
Chlordane Gamma,Chlordane Gamma,
Chlordane-alpha,Chlordane-alpha,
Chlordane-cis,Chlordane-cis,
Chlordane-gamma,Chlordane-gamma,
Chlordane-trans,Chlordane-trans,
Chlorfenvinphos,Chlorfenvinphos,470-90-6
Chloride,Chloride,16887-00-6
Chlorine,Chlorine,7782-50-5
Chlorine Dioxide,Chlorine Dioxide,10049-04-4
Chlorite,Chlorite,14998-27-7
Chlormequat,Chlormequat,
"Chloro-2, nitrobenzene","Chloro-2, nitrobenzene",
"Chloro-2,4-dinitrobenzene","Chloro-2,4-dinitrobenzene",
"Chloro-3, nitrobenzene","Chloro-3, nitrobenzene",
"Chloro-4, nitrobenzene","Chloro-4, nitrobenzene",
Chloroacetaldehyde,Chloroacetaldehyde,107-20-0
Chlorobenzene,Chlorobenzene,108-90-7
Chlorobenzilate,Chlorobenzilate,
Chlorodibromomethane,Chlorodibromomethane,
Chlorodifluoromethane,Chlorodifluoromethane,75-45-6
Chloroethane,Chloroethane,75-00-3
Chloroethene,Chloroethene,
Chlorofenvinphos,Chlorofenvinphos,
Chlorofluoromethane,Chlorofluoromethane,
Chloroform,Chloroform,67-66-3
Chloromethane,Chloromethane,74-87-3
Chloronitrotoluenes,Chloronitrotoluenes,25567-68-4
Chlorophyll,Chlorophyll,
"Chlorophyll, Acetone Extract","Chlorophyll, Acetone Extract",
Chlorosulphonic Acid,Chlorosulphonic Acid,7790-94-5
Chlorothalonil,Chlorothalonil,1897-45-6
Chlorotoluron,Chlorotoluron,15545-48-9
Chlorpropham,Chlorpropham,101-21-3
Chlorpyrifos,Chlorpyrifos,2921-88-2
Chlorpyriphos,Chlorpyriphos,
Chlorpyriphos Methyl,Chlorpyriphos Methyl,
Chlorthalonil,Chlorthalonil,
Chlortoluron,Chlortoluron,
Chromium,Chromium,7440-47-3
Chromium III,Chromium III,
Chromium VI (Hexavalent),Chromium VI (Hexavalent),
Chromium(II) Compounds (As Cr),Chromium(II) Compounds (As Cr),
Chromium(III) Compounds (As Cr),Chromium(III) Compounds (As Cr),
Chromium(VI) Compounds (As Cr),Chromium(VI) Compounds (As Cr),
Chrysene,Chrysene,
Cis Chlordane,Cis Chlordane,
"cis-1,2 dichloroethylene","cis-1,2 dichloroethylene",
"cis-1,2-DCE","cis-1,2-DCE",
"cis-1,2-Dichloroethene","cis-1,2-Dichloroethene",
"cis-1,3-Dichloropropene","cis-1,3-Dichloropropene",
"cis-1,3-Dichloropropene m","cis-1,3-Dichloropropene m",
Cis-Heptachlor Epoxide,Cis-Heptachlor Epoxide,
Clock Reading (Leachate),Clock Reading (Leachate),
Clopyralid,Clopyralid,
Clostridium perfringens (Including Spores),Clostridium perfringens (Including Spores),
Cloud Cover,Cloud Cover,
CO,CO,630-08-0
CO2,CO2,
Coal Tars,Coal Tars,
Cobalt,Cobalt,7440-48-4
COD (Chemical Oxygen Demand),COD (Chemical Oxygen Demand),
Coliform 500 ml Sample,Coliform 500 ml Sample,
Coliform Bacteria,Coliform Bacteria,
Coliforms - Total,Coliforms - Total,
Coliforms Total (liq),Coliforms Total (liq),
Colony Counts,Colony Counts,
Colour,Colour,
Colouration (After Filtration),Colouration (After Filtration),
Colouration (After Simple Filtration),Colouration (After Simple Filtration),
Conductivity,Conductivity,
Conductivity (field),Conductivity (field),
Conductivity @ 20C,Conductivity @ 20C,
Conductivity @ 25C,Conductivity @ 25C,
Copper,Copper,7440-50-8
"Copper - Dissolved, Filtered","Copper - Dissolved, Filtered",
Copper - Total Unfiltered,Copper - Total Unfiltered,
Cotton Dust,Cotton Dust,
Coumaphos,Coumaphos,56-72-4
cresol p,cresol p,
Cresols,Cresols,
Cryofluorane,Cryofluorane,76-14-2
Cumene,Cumene,98-82-8
Cyanamide,Cyanamide,420-04-2
Cyanazine,Cyanazine,21725-46-2
Cyanide,Cyanide,57-12-5
Cyanogen Chloride,Cyanogen Chloride,506-77-4
Cyclohexane,Cyclohexane,110-82-7
Cyclohexanol,Cyclohexanol,108-93-0
Cyclohexanone,Cyclohexanone,108-94-1
Cyclohexylamine,Cyclohexylamine,108-91-8
Cyfluthrin,Cyfluthrin,68359-37-5
Cypermethrin,Cypermethrin,52315-07-8
Date Lab Finished,Date Lab Finished,
Date Lab Started,Date Lab Started,
Date Sample Arrived at Lab,Date Sample Arrived at Lab,
DB Pressure,DB Pressure,
DB Temperature,DB Temperature,
DBP (Dibutyl Phthalate),DBP (Dibutyl Phthalate),84-74-2
